Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 9 18 7 -999 -999 912 -10.78 -51.13 98 88.2 2.98 75.4 2.4 -999 -.9 -999 -999 267.8 247 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 9 -999 -999 912 -10.63 -50.94 99.7 89.9 2.3 75 6.8 -999 2.3 -999 -999 267.9 245.6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 11 -999 -999 913 -10.41 -50.78 93.2 84.2 3.22 86.7 324.9 -999 40.1 -999 -999 273.5 249.2 -999 -999 2.21 1.133 10.197 -999 -2.68 -3.28 -2.85 -4.09 -2.32 -6.33 -7.54 -10.17 1.36 -.23 -999 -999 -999 753.7 .8 -999 132 12.91
2016 9 18 12 -999 -999 913 -10.47 -50.66 88.4 79.9 3.27 83.6 474.8 -999 83.7 -999 -999 274.5 252.5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 14 -999 -999 914 -11.58 -51.55 99.5 88.9 4 102.3 568 -999 172.5 -999 -999 253.7 260.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 15 -999 -999 914 -11.65 -51.67 97.6 87.1 4.51 97.2 226.1 -999 206.5 -999 -999 178.1 261.5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 16 -999 -999 915 -10.92 -50.96 97.2 87.4 4.28 97.9 138.7 -999 225.5 -999 -999 176.7 264.4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 17 -999 -999 915 -10.14 -50.15 97.1 88 4.93 98.1 94.8 -999 228.1 -999 -999 175.5 268.3 -999 -999 2.201 1.116 10.189 -999 -2.7 -3.29 -2.87 -4.13 -2.32 -6.34 -7.53 -10.16 1.42 .09 -999 -999 -999 751.9 1.2 -999 155 14.56
2016 9 18 19 -999 -999 916 -9.49 -49.55 100.5 91.6 5.56 103.6 60.6 -999 182.3 -999 -999 176.8 270.7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 20 -999 -999 917 -10.21 -50.26 99.8 90.4 5.02 99.5 67.8 -999 139 -999 -999 178.8 267.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 21 -999 -999 917 -10.85 -51.03 100.7 90.6 5.06 96.6 63.3 -999 60.7 -999 -999 195 264.4 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
